CAMPUS,CD203ARE1217R,CD203ARE1218R,CD203ARE1317R,CD203ARE1318R,CD203ARE1S17R,CD203ARE1S18R,CD303ARE1217R,CD303ARE1218R,CD303ARE1317R,CD303ARE1318R,CD303ARE1S17R,CD303ARE1S18R,CD403ARE1217R,CD403ARE1218R,CD403ARE1317R,CD403ARE1318R,CD403ARE1S17R,CD403ARE1S18R,CDA03ARE1217R,CDA03ARE1218R,CDA03ARE1317R,CDA03ARE1318R,CDA03ARE1S17R,CDA03ARE1S18R,CDB03ARE1217R,CDB03ARE1218R,CDB03ARE1317R,CDB03ARE1318R,CDB03ARE1S17R,CDB03ARE1S18R,CDE03ARE1217R,CDE03ARE1218R,CDE03ARE1317R,CDE03ARE1318R,CDE03ARE1S17R,CDE03ARE1S18R,CDF03ARE1217R,CDF03ARE1218R,CDF03ARE1317R,CDF03ARE1318R,CDF03ARE1S17R,CDF03ARE1S18R,CDH03ARE1217R,CDH03ARE1218R,CDH03ARE1317R,CDH03ARE1318R,CDH03ARE1S17R,CDH03ARE1S18R,CDI03ARE1217R,CDI03ARE1218R,CDI03ARE1317R,CDI03ARE1318R,CDI03ARE1S17R,CDI03ARE1S18R,CDL03ARE1217R,CDL03ARE1218R,CDL03ARE1317R,CDL03ARE1318R,CDL03ARE1S17R,CDL03ARE1S18R,CDM03ARE1217R,CDM03ARE1218R,CDM03ARE1317R,CDM03ARE1318R,CDM03ARE1S17R,CDM03ARE1S18R,CDR03ARE1217R,CDR03ARE1218R,CDR03ARE1317R,CDR03ARE1318R,CDR03ARE1S17R,CDR03ARE1S18R,CDS03ARE1217R,CDS03ARE1218R,CDS03ARE1317R,CDS03ARE1318R,CDS03ARE1S17R,CDS03ARE1S18R,CDW03ARE1217R,CDW03ARE1218R,CDW03ARE1317R,CDW03ARE1318R,CDW03ARE1S17R,CDW03ARE1S18R
'001902001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001902041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001902103,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,42,57,26,28,67,85,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,-1,30,-1,87,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,37,48,23,26,63,83,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41,59,26,28,67,87
'001903001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001903102,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,50,55,31,38,83,85,-1,-1,-1,-1,-1,-1,44,39,21,24,85,78,53,62,23,42,90,93,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,48,46,38,32,78,76,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53,61,33,42,83,88
'001904001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001904102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,42,54,18,33,65,85,-1,-1,-1,-1,-1,-1,40,59,14,30,51,84,45,42,15,24,64,82,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,37,64,22,41,67,87,-1,30,-1,18,-1,70,-1,-1,-1,-1,-1,-1,41,59,18,39,64,86
'001906002,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001906102,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,57,55,48,28,90,93,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,62,-1,54,-1,92,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,56,60,44,40,89,95
