NAME,TYPE,LENGTH,LABEL
CAMPUS,Character,9,Campus Number
CDB03AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, African American, STAAR Mathematics Rate"
CDB03ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, African American, STAAR Reading/ELA Rate"
CDA03AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, All Students, STAAR Mathematics Rate"
CDA03ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, All Students, STAAR Reading/ELA Rate"
CDI03AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, American Indian, STAAR Mathematics Rate"
CDI03ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, American Indian, STAAR Reading/ELA Rate"
CD303AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Asian, STAAR Mathematics Rate"
CD303ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Asian, STAAR Reading/ELA Rate"
CDR03AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, At Risk, STAAR Mathematics Rate"
CDR03ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, At Risk, STAAR Reading/ELA Rate"
CDL03AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, EL, STAAR Mathematics Rate"
CDL03ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, EL, STAAR Reading/ELA Rate"
CDE03AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Econ Disadv, STAAR Mathematics Rate"
CDE03ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Econ Disadv, STAAR Reading/ELA Rate"
CDF03AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Female, STAAR Mathematics Rate"
CDF03ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Female, STAAR Reading/ELA Rate"
CDH03AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Hispanic, STAAR Mathematics Rate"
CDH03ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Hispanic, STAAR Reading/ELA Rate"
CDM03AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Male, STAAR Mathematics Rate"
CDM03ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Male, STAAR Reading/ELA Rate"
CD403AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Pacific Islander, STAAR Mathematics Rate"
CD403ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Pacific Islander, STAAR Reading/ELA Rate"
CDS03AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Special Ed, STAAR Mathematics Rate"
CDS03ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Special Ed, STAAR Reading/ELA Rate"
CD203AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Two or More Races, STAAR Mathematics Rate"
CD203ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, Two or More Races, STAAR Reading/ELA Rate"
CDW03AMA1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, White, STAAR Mathematics Rate"
CDW03ARE1S17R,Numeric,8,"Campus 2017 Domain 1A: Approaches Grade Level STD, Grade 3, White, STAAR Reading/ELA Rate"
CDB03AMA1317R,Numeric,8,"Campus 2017 Domain 1A: Masters Grade Level STD, Grade 3, African American, STAAR Mathematics Rate"
CDB03ARE1317R,Numeric,8,"Campus 2017 Domain 1A: Masters Grade Level STD, Grade 3, African American, STAAR Reading/ELA Rate"
CDA03AMA1317R,Numeric,8,"Campus 2017 Domain 1A: Masters Grade Level STD, Grade 3, All Students, STAAR Mathematics Rate"
CDA03ARE1317R,Numeric,8,"Campus 2017 Domain 1A: Masters Grade Level STD, Grade 3, All Students, STAAR Reading/ELA Rate"
CDI03AMA1317R,Numeric,8,"Campus 2017 Domain 1A: Masters Grade Level STD, Grade 3, American Indian, STAAR Mathematics Rate"
CDI03ARE1317R,Numeric,8,"Campus 2017 Domain 1A: Masters Grade Level STD, Grade 3, American Indian, STAAR Reading/ELA Rate"
CD303AMA1317R,Numeric,8,"Campus 2017 Domain 1A: Masters Grade Level STD, Grade 3, Asian, STAAR Mathematics Rate"
CD303ARE1317R,Numeric,8,"Campus 2017 Domain 1A: Masters Grade Level STD, Grade 3, Asian, STAAR Reading/ELA Rate"
CDR03AMA1317R,Numeric,8,"Campus 2017 Domain 1A: Masters Grade Level STD, Grade 3, At Risk, STAAR Mathematics Rate"
CDR03ARE1317R,Numeric,8,"Campus 2017 Domain 1A: Masters Grade Level STD, Grade 3, At Risk, STAAR Reading/ELA Rate"
